text,label
cow ,0
tree ,0
bandaid ,0
 ow ipep ,0
brush ,0
comb ,0
hair ,0
a ,0
bear ,0
on the floor ,0
kitchen ,0
sweet bread ,0
pudding ,0
Jello ,0
Santa b and witch ,0
a kitty ,0
french fries ,0
brush ,0
yellow ,0
the mommy ,0
doggie ,0
brother ,0
Eli ,0
one ,0
Sarah ,0
Dadad Mama ,0
one on the couch ,0
her name her name is Maggie ,0
three ,0
zero ,0
Jonathan ,0
ruff ,0
dog food ,0
daycare ,0
pants ,0
he throwed them ,0
jumping ,0
Dad ,0
putting his clothes on ,0
put it on his hands and on his head ,0
horse ,0
rocking horse ,0
ah ,0
z ,0
n ,0
no ,0
k ,0
and ,0
ay ,0
t ,0
ay ,0
and ,0
an ay ,0
and have ,0
k an ay t ,0
k ay ,0
k ay ,0
d inan niaus ,0
you only have ay e ,0
mhm ,0
rooster ,0
cockadoodedoo ,0
when he hungry ,0
duck ,0
saw ,0
working ,0
the museum ,0
carousel ,0
a bunkbed ,0
dress up stuff ,0
squishy things you push in ,0
they go ,0
Wegmans ,0
blue shampoo ,0
put it on your hair ,0
elephant ,0
they go in ,0
they re going to sleep in the house ,0
bringing them back to the cage ,0
those two aren ,0
can see what in there ,0
let see all those cool toys ,0
look at this ,0
hey look at this said ,0
nothing ,0
just playing with doggie ,0
you can do that ,0
what that toy car that you re play with ,0
I ,0
I don know ,0
what this ,0
what do you do with this ,0
what do you do with these straps ,0
like stroller ,0
like this ,0
nowhere ,0
no ,0
hey ,0
what are these white things ,0
you can play if you want to ,0
yeah ,0
here a hammer ,0
no ,0
it goes this way ,0
hey it doesn fit me very well ,0
good ,0
here something ,0
wow that cool ,0
maybe ll fix that car ,0
must be plier ,0
I got to shut the roof up ,0
that a saw ,0
I just have to break it in half and that ll fix it back ,0
yes ,0
yeah ,0
a wrench ,0
a hammer ,0
the bottom was broken ,0
yeah ,0
yeah look at the bottom ,0
uhhuh ,0
yeah ,0
now try to drive it ,0
it works now ,0
yeah ll fix it again ,0
all right ,0
doing this ,0
yeah ,0
no m just putting them back where they go ,0
now try it again ,0
yep ,0
but don crash it into the stuff again ,0
okay ,0
nowhere ,0
oh crashed again ,0
good ,0
it ll take thirty minutes ,0
okay ,0
car fixed ,0
yeah ,0
yeah but you know what don crash it into the stuff anymore ,0
okay ,0
you gonna crash it ,0
I ll fix it again ,0
yeah pretend ,0
yeah ,0
no ,0
like truck ,0
yeah ,0
I don know look at this little car ,0
hey it doesn crash ,0
vroom ,0
it crashed ,0
well sometimes it does but it doesn break when it crash it ,0
no ,0
hey lookit this bus ,0
yeah ,0
huh ,0
well you know what ,0
there no more people like this ,0
yeah ,0
hey there we go look at this big truck ,0
wow ,0
must be firetruck ,0
no but what this white thing ,0
well what are these gray things ,0
what does this do ,0
what does this say ,0
goes round and round and round ,0
no but it goes round and round and round ,0
and it goes off ,0
is this lid ,0
yeah ,0
vroom watch out ,0
vroom ,0
they crashed ,0
I gonna fix it ,0
crashed right over here ,0
I already did ,0
it got broken ,0
yeah ,0
the wheels got broken too ,0
yeah and fire fighter ,0
yeah m gonna be that too when grow up and baseball player ,0
yeah busy with stuff ,0
well oh no the part these part only the wheels crashed ,0
yeah but not the bottom like this ,0
yeah right here ,0
the wheels are not okay ,0
but you gotta be really careful ,0
yes ,0
huh ,0
do you have more people like that ,0
hey look at this what is this ,0
I don know ,0
yeah ,0
hey lookit lookit this ,0
he has legs on ,0
choo choo ,0
why you want me to pull that around ,0
hey ,0
why ,0
no he not ,0
when you go this way he bumps ,0
he go around bumps ,0
all right m all done with this train ,0
I think ll get this room messy ,0
maybe in bus ,0
yeah ,0
hey what in the house ,0
huh ,0
no it goes on the train maybe ,0
yeah ,0
yeah ,0
you re nice guy ,0
